2018-07-30 18:21:05.998000

10_2_S6_L3_X_TwoPanels.xef :  [num_images: 1721, video_time: 94.4580004501, FPS: 18]
10_3_S6_L3_X_ThreePanels.xef :  [num_images: 1540, video_time: 85.4310001259, FPS: 18]
10_4_S6_L3_X_FourPanels.xef :  [num_images: 1696, video_time: 93.0559999008, FPS: 18]
11_0_S6_L3_ContrastPresets_X.xef :  [num_images: 1754, video_time: 96.1980000153, FPS: 18]
1_0_S6_L3_Scroll_X.xef :  [num_images: 1893, video_time: 102.857000088, FPS: 18]
1_1_S6_L3_X_Up.xef :  [num_images: 1813, video_time: 98.4679999294, FPS: 18]
1_2_S6_L3_X_Down.xef :  [num_images: 1861, video_time: 101.790999962, FPS: 18]
2_0_S6_L3_Flip_X.xef :  [num_images: 2305, video_time: 126.259000076, FPS: 18]
2_1_S6_L3_X_Horizontal.xef :  [num_images: 1441, video_time: 79.1970000687, FPS: 18]
2_2_S6_L3_X_Vertical.xef :  [num_images: 1903, video_time: 103.208000027, FPS: 18]
3_0_S6_L3_Rotate_X.xef :  [num_images: 1415, video_time: 78.0850001698, FPS: 18]
3_1_S6_L3_X_CW.xef :  [num_images: 1130, video_time: 62.1859999828, FPS: 18]
3_2_S6_L3_X_CCW.xef :  [num_images: 1151, video_time: 62.9319998379, FPS: 18]
4_0_S6_L3_Zoom_X.xef :  [num_images: 1212, video_time: 67.1200003586, FPS: 18]
4_1_S6_L3_X_In.xef :  [num_images: 1187, video_time: 65.4460001297, FPS: 18]
4_2_S6_L3_X_Out.xef :  [num_images: 1459, video_time: 80.3790001221, FPS: 18]
5_0_S6_L3_SwitchPanel_X.xef :  [num_images: 1449, video_time: 79.474999752, FPS: 18]
